"Time","Dow Jones Industrial Average (US) - Close International  - Close  - $"
"20191030",27186.690
"20191029",27071.420
"20191028",27090.720
"20191025",26958.060
"20191024",26805.530
"20191023",26833.950
"20191022",26788.100
"20191021",26827.640
"20191018",26770.200
"20191017",27025.880
"20191016",27001.980
"20191015",27024.800
"20191014",26787.360
"20191011",26816.590
"20191010",26496.670
"20191009",26346.010
"20191008",26164.040
"20191007",26478.020
"20191004",26573.720
"20191003",26201.040
"20191002",26078.620
"20191001",26573.040
"20190930",26916.830
"20190927",26820.250
"20190926",26891.120
"20190925",26970.710
"20190924",26807.770
"20190923",26949.990
"20190920",26935.070
"20190919",27094.790
"20190918",27147.080
"20190917",27110.800
"20190916",27076.820
"20190913",27219.520
"20190912",27182.450
"20190911",27137.040
"20190910",26909.430
"20190909",26835.510
"20190906",26797.460
"20190905",26728.150
"20190904",26355.470
"20190903",26118.020
"20190902",26403.280
"20190830",26403.280
"20190829",26362.250
"20190828",26036.100
"20190827",25777.900
"20190826",25898.830
"20190823",25628.900
"20190822",26252.240
"20190821",26202.730
"20190820",25962.440
"20190819",26135.790
"20190816",25886.010
"20190815",25579.390
"20190814",25479.420
"20190813",26279.910
"20190812",25896.440
"20190809",26287.440
"20190808",26378.190
"20190807",26007.070
"20190806",26029.520
"20190805",25717.740
"20190802",26485.010
"20190801",26583.420
"20190731",26864.270
"20190730",27198.020
"20190729",27221.350
"20190726",27192.450
"20190725",27140.980
"20190724",27269.970
"20190723",27349.190
"20190722",27171.900
"20190719",27154.200
"20190718",27222.970
"20190717",27219.850
"20190716",27335.630
"20190715",27359.160
"20190712",27332.030
"20190711",27088.080
"20190710",26860.200
"20190709",26783.490
"20190708",26806.140
"20190705",26922.120
"20190704",26966.000
"20190703",26966.000
"20190702",26786.680
"20190701",26717.430
"20190628",26599.960
"20190627",26526.580
"20190626",26536.820
"20190625",26548.220
"20190624",26727.540
"20190621",26719.130
"20190620",26753.170
"20190619",26504.000
"20190618",26465.540
"20190617",26112.530
"20190614",26089.610
"20190613",26106.770
"20190612",26004.830
"20190611",26048.510
"20190610",26062.680
"20190607",25983.940
"20190606",25720.660
"20190605",25539.570
"20190604",25332.180
"20190603",24819.780
"20190531",24815.040
"20190530",25169.880
"20190529",25126.410
"20190528",25347.770
"20190524",25585.690
"20190523",25490.470
"20190522",25776.610
"20190521",25877.330
"20190520",25679.900
"20190517",25764.000
"20190516",25862.680
"20190515",25648.020
"20190514",25532.050
"20190513",25324.990
"20190510",25942.370
"20190509",25828.360
"20190508",25967.330
"20190507",25965.090
"20190506",26438.480
"20190503",26504.950
"20190502",26307.790
"20190501",26430.140
"20190430",26592.910
"20190429",26554.390
"20190426",26543.330
"20190425",26462.080
"20190424",26597.050
"20190423",26656.390
"20190422",26511.050
"20190418",26559.540
"20190417",26449.540
"20190416",26452.660
"20190415",26384.770
"20190412",26412.300
"20190411",26143.050
"20190410",26157.160
"20190409",26150.580
"20190408",26341.020
"20190405",26424.990
"20190404",26384.630
"20190403",26218.130
"20190402",26179.130
"20190401",26258.420
"20190329",25928.680
"20190328",25717.460
"20190327",25625.590
"20190326",25657.730
"20190325",25516.830
"20190322",25502.320
"20190321",25962.510
"20190320",25745.670
"20190319",25887.380
"20190318",25914.100
"20190315",25848.870
"20190314",25709.940
"20190313",25702.890
"20190312",25554.660
"20190311",25650.880
"20190308",25450.240
"20190307",25473.230
"20190306",25673.460
"20190305",25806.630
"20190304",25819.650
"20190301",26026.320
"20190228",25916.000
"20190227",25985.160
"20190226",26057.980
"20190225",26091.950
"20190222",26031.810
"20190221",25850.630
"20190220",25954.440
"20190219",25891.320
"20190215",25883.250
"20190214",25439.390
"20190213",25543.270
"20190212",25425.760
"20190211",25053.110
"20190208",25106.330
"20190207",25169.530
"20190206",25390.300
"20190205",25411.520
"20190204",25239.370
"20190201",25063.890
"20190131",24999.670
"20190130",25014.860
"20190129",24579.960
"20190128",24528.220
"20190125",24737.200
"20190124",24553.240
"20190123",24575.620
"20190122",24404.480
"20190118",24706.350
"20190117",24370.100
"20190116",24207.160
"20190115",24065.590
"20190114",23909.840
"20190111",23995.950
"20190110",24001.920
"20190109",23879.120
"20190108",23787.450
"20190107",23531.350
"20190104",23433.160
"20190103",22686.220
"20190102",23346.240
"20181231",23327.460
"20181228",23062.400
"20181227",23138.820
"20181226",22878.450
"20181224",21792.200
"20181221",22445.370
"20181220",22859.600
"20181219",23323.660
"20181218",23675.640
"20181217",23592.980
"20181214",24100.510
"20181213",24597.380
"20181212",24527.270
"20181211",24370.240
"20181210",24423.260
"20181207",24388.950
"20181206",24947.670
"20181204",25027.070
"20181203",25826.430
"20181130",25538.460
"20181129",25338.840
"20181128",25366.430
"20181127",24748.730
