"Time","National Debt - Daily USA  - Debt  - $"
"20191028",22950538299859.71
"20191025",22948911971466.48
"20191024",22943159688775.93
"20191023",22926602224587.40
"20191022",22940939205328.00
"20191021",22922454475325.50
"20191018",22918893401337.22
"20191017",22918794762476.14
"20191016",22897812971228.86
"20191015",22902889023079.27
"20191011",22843617581353.64
"20191010",22842749110170.59
"20191009",22823858730049.53
"20191008",22839353088152.28
"20191007",22836905127489.22
"20191004",22834429766201.04
"20191003",22829455689908.62
"20191002",22827535000529.65
"20191001",22798479742321.92
"20190930",22719401753433.78
"20190927",22622684674364.43
"20190926",22609957618808.14
"20190925",22607428369788.64
"20190924",22622770690001.99
"20190923",22610453853393.56
"20190920",22605632959665.14
"20190919",22610196598036.67
"20190918",22590164470365.91
"20190917",22602942644871.49
"20190916",22586281657819.33
"20190913",22557571535314.09
"20190912",22557781101458.39
"20190911",22539506714045.44
"20190910",22558141162723.67
"20190909",22537423716466.15
"20190906",22532757499591.39
"20190905",22531817693305.66
"20190904",22517297955639.18
"20190903",22499028130171.28
"20190830",22460466625952.37
"20190829",22467795131451.64
"20190828",22456832939116.24
"20190827",22472360797329.80
"20190826",22440782615874.92
"20190823",22430807789262.13
"20190822",22430652209581.70
"20190821",22414598129671.70
"20190820",22428001691709.87
"20190819",22396345008911.25
"20190816",22389559542935.74
"20190815",22385387228972.44
"20190814",22342140787120.32
"20190813",22359330185064.46
"20190812",22331333773573.19
"20190809",22326506729822.41
"20190808",22327888143759.66
"20190807",22321542218139.83
"20190806",22322413855280.18
"20190805",22320985030325.55
"20190802",22314300536778.37
"20190801",22022779932477.98
"20190731",22022368854863.19
"20190730",22022376894711.12
"20190729",22022351130583.63
"20190726",22022795612652.49
"20190725",22022943775070.37
"20190724",22022541856518.42
"20190723",22022691412700.74
"20190722",22022669203729.33
"20190719",22023119533123.43
"20190718",22023269635664.39
"20190717",22022359616295.42
"20190716",22022511127420.27
"20190715",22022489157318.43
"20190712",22022945564301.12
"20190711",22023097720080.98
"20190710",22022672056021.83
"20190709",22022825153825.04
"20190708",22022792479867.40
"20190705",22023252678157.00
"20190703",22022999766188.67
"20190702",22023154457098.57
"20190701",22023127457029.41
"20190628",22023282617075.45
"20190627",22025713624721.18
"20190626",22025311154285.78
"20190625",22025467877267.26
"20190624",22025444218890.86
"20190621",22025916805261.83
"20190620",22026074359429.66
"20190619",22025126584081.54
"20190618",22025285716123.66
"20190617",22025257265224.76
"20190614",22025737667227.33
"20190613",22025897802924.26
"20190612",22025467215322.33
"20190611",22025629973683.95
"20190610",22025597084037.73
"20190607",22026087862210.14
"20190606",22026251450735.52
"20190605",22025796403796.43
"20190604",22025961143635.30
"20190603",22025927312962.14
"20190531",22026423883026.38
"20190530",22027424114818.60
"20190529",22026955988128.91
"20190528",22027122548264.26
"20190524",22027582043284.14
"20190523",22027749066883.72
"20190522",22026679116252.14
"20190521",22026846898345.44
"20190520",22026794607778.78
"20190517",22027298281442.30
"20190516",22027466173302.66
"20190515",22026973836645.55
"20190514",22027142477788.08
"20190513",22027088803760.18
"20190510",22027594778503.72
"20190509",22027763492693.17
"20190508",22027265000437.08
"20190507",22027434332952.25
"20190506",22027330249714.53
"20190503",22027834270147.16
"20190502",22028002290150.87
"20190501",22027499772496.57
"20190430",22027668200019.47
"20190429",22027220511577.98
"20190426",22027725902609.90
"20190425",22027894379236.04
"20190424",22026750845632.11
"20190423",22026919403453.14
"20190422",22026865292117.75
"20190419",22027373329054.47
"20190418",22027542672770.63
"20190417",22027026475248.40
"20190416",22027197885173.36
"20190415",22027148377103.51
"20190412",22027664941778.85
"20190411",22027837127788.04
"20190410",22027323060789.03
"20190409",22027496999035.60
"20190408",22027449134390.73
"20190405",22027973012982.34
"20190404",22028147661589.79
"20190402",22027579108932.54
"20190401",22027704987724.49
"20190329",22027880157027.99
"20190328",22029112480741.88
"20190327",22027897795377.42
"20190326",22028072102351.20
"20190325",22027998543525.24
"20190322",22028518927886.87
"20190321",22028692383333.10
"20190320",22028089812176.34
"20190319",22028262639972.93
"20190318",22028190803484.94
"20190315",22028706063174.96
"20190314",22028877815332.49
"20190313",22028273031640.25
"20190312",22028444133429.20
"20190311",22028371305809.44
"20190308",22028881490539.35
"20190307",22029051549002.87
"20190306",22028357199655.04
"20190305",22028524548385.66
"20190304",22028447125652.23
"20190301",22028945980301.65
"20190228",22115526445599.07
"20190227",22074317868857.95
"20190226",22089959800922.00
"20190225",22067095964458.39
"20190222",22063557299600.16
"20190221",22039289882625.87
"20190220",22039763197239.24
"20190219",22040666955080.47
"20190215",22025547947478.37
"20190214",22015608446497.27
"20190213",22020113259723.01
"20190212",22035768149459.89
"20190211",22012840891685.32
"20190208",21957707162297.58
"20190207",21955061924930.72
"20190206",21957560953101.45
"20190205",21957295730198.83
"20190204",21933491166604.77
"20190201",21921630334906.20
"20190131",21982423036475.23
"20190130",21968157827920.13
"20190129",21973331001422.70
"20190128",21955074791078.53
"20190125",21950249913408.50
"20190124",21941258881102.69
"20190123",21947795866492.78
"20190122",21953160110078.25
"20190118",21954898759285.36
"20190117",21954771806120.41
"20190116",21960411284948.15
"20190115",21969969573018.07
"20190114",21919993773556.77
