Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
American,11/05/19,96-80,16,35-67/28-54,.522/.519,11-21/6-18,.524/.333,15-18/18-28,.833-.643,41/26 15,17/7,13/12,0/1,4/5,23/17
Xavier,11/08/19,63-81,-18,21-56/27-63,.375/.429,4-19/6-19,.211/.316,17-28/21-31,.607-.677,34/43 -9,9/16,13/11,3/2,4/5,25/20
St. Bonaventure,11/12/19,78-65,13,25-54/24-63,.463/.381,6-18/10-28,.333/.357,22-29/7-7,.759-1.000,39/30 9,12/12,14/13,3/3,6/3,11/20
Harvard,11/14/19,56-59,-3,24-59/23-57,.407/.404,4-22/9-26,.182/.346,4-8/4-5,.500-.800,36/36 0,10/8,17/20,2/10,7/8,13/12
Yale,11/20/19,89-100,-11,27-82/35-68,.329/.515,4-22/12-29,.182/.414,31-39/18-28,.795-.643,52/47 5,14/26,9/16,2/10,9/3,23/23
Colgate,11/29/19,62-72,-10,24-52/26-58,.462/.448,4-15/5-23,.267/.217,10-16/15-19,.625-.789,36/30 6,11/10,21/11,6/5,5/10,21/16
Cal Poly,12/07/19,66-70,-4,27-65/25-50,.415/.500,8-21/7-16,.381/.438,4-12/13-19,.333-.684,40/32 8,10/9,9/10,2/5,7/3,20/17
Bucknell,12/21/19,81-71,10,23-51/28-63,.451/.444,6-13/8-24,.462/.333,29-35/7-9,.829-.778,38/28 10,11/10,15/13,3/4,3/6,17/27
Canisius,12/23/19,73-72,1,29-65/27-60,.446/.450,6-21/9-22,.286/.409,9-13/9-13,.692-.692,42/29 13,14/17,16/12,2/2,6/10,14/17
Holy Cross,12/29/19,74-62,12,29-54/26-55,.537/.473,7-18/6-16,.389/.375,9-16/4-6,.563-.667,30/30 0,15/11,9/13,4/0,7/2,8/19
Monmouth,01/03/20,75-72,3,25-59/26-67,.424/.388,8-20/9-24,.400/.375,17-26/11-15,.654-.733,47/36 11,13/14,13/7,5/5,3/8,13/21
Rider,01/05/20,77-85,-8,27-56/25-50,.482/.500,10-25/7-16,.400/.438,13-17/28-33,.765-.848,28/30 -2,12/7,20/17,3/4,6/8,28/20
Saint Peter's,01/09/20,61-58,3,22-53/25-59,.415/.424,3-12/4-22,.250/.182,14-23/4-6,.609-.667,37/32 5,7/6,13/15,3/5,4/4,12/20
Manhattan,01/12/20,69-81,-12,22-53/30-59,.415/.508,10-22/12-25,.455/.480,15-24/9-15,.625-.600,37/31 6,15/19,18/11,2/2,8/7,18/18
Canisius,01/17/20,63-73,-10,22-57/28-56,.386/.500,9-30/4-22,.300/.182,10-18/13-19,.556-.684,29/41 -12,11/14,13/16,1/3,9/5,17/19
Niagara,01/19/20,71-72,-1,25-50/24-48,.500/.500,7-16/6-12,.438/.500,14-19/18-23,.737-.783,30/26 4,13/13,12/7,3/0,4/4,20/15
Marist,01/24/20,70-57,13,23-52/21-64,.442/.328,3-14/6-22,.214/.273,21-24/9-9,.875-1.000,37/35 2,14/5,14/15,4/4,8/6,17/20
Quinnipiac,01/26/20,84-61,23,33-57/23-54,.579/.426,9-18/7-23,.500/.304,9-13/8-11,.692-.727,34/25 9,19/12,11/12,1/2,7/3,17/12
Iona,01/31/20,87-64,23,30-60/23-57,.500/.404,5-14/8-25,.357/.320,22-28/10-12,.786-.833,42/24 18,14/10,11/12,3/3,7/7,12/22
Saint Peter's,02/02/20,80-85,-5,26-54/25-50,.481/.500,12-25/5-13,.480/.385,16-26/30-37,.615-.811,28/29 -1,16/9,11/9,4/3,4/5,23/21
Fairfield,02/07/20,65-49,16,23-50/16-53,.460/.302,5-15/1-9,.333/.111,14-20/16-20,.700-.800,33/35 -2,12/4,16/17,3/3,5/8,17/18
Rider,02/14/20,73-64,9,27-52/24-60,.519/.400,7-21/5-23,.333/.217,12-18/11-15,.667-.733,27/36 -9,15/10,7/12,5/3,5/3,15/14
Manhattan,02/16/20,65-52,13,28-57/22-56,.491/.393,2-10/3-13,.200/.231,7-15/5-9,.467-.556,37/35 2,14/8,8/13,5/4,5/4,14/17
Iona,02/19/20,65-64,1,22-54/25-56,.407/.446,2-13/3-13,.154/.231,19-27/11-11,.704-1.000,39/29 10,9/11,13/9,1/4,3/7,12/19
Fairfield,02/23/20,62-59,3,18-41/21-58,.439/.362,6-12/2-15,.500/.133,20-23/15-20,.870-.750,33/32 1,11/7,13/5,4/4,1/4,16/20
Quinnipiac,02/26/20,84-77,7,30-59/29-59,.508/.492,10-18/14-28,.556/.500,14-18/5-6,.778-.833,34/30 4,14/16,9/13,4/6,7/4,12/18
Marist,02/28/20,52-50,2,18-41/21-52,.439/.404,6-15/4-19,.400/.211,10-13/4-6,.769-.667,30/26 4,8/8,14/9,3/4,5/9,14/11
Niagara,03/04/20,77-55,22,27-54/21-64,.500/.328,8-22/5-16,.364/.313,15-19/8-11,.789-.727,40/31 9,23/11,12/7,6/1,4/7,16/17
Monmouth,03/06/20,86-72,14,32-58/27-69,.552/.391,10-27/6-27,.370/.222,12-14/12-15,.857-.800,43/27 16,20/18,16/4,2/4,2/10,15/15
Manhattan,03/11/20,63-49,14,26-57/20-58,.456/.345,6-19/4-18,.316/.222,5-10/5-10,.500-.500,40/35 5,18/7,11/9,3/4,5/4,12/14
