Month,Year,Less than a high school diploma,"High school graduates, no college",Some college or associate degree,Bachelor's degree and higher
11,2004,8,4.8,4.3,2.5
12,2004,8.1,4.8,4.2,2.5
1,2005,7.7,4.7,4.1,2.4
2,2005,7.8,4.9,4.2,2.4
3,2005,7.8,4.7,3.9,2.4
4,2005,8.2,4.4,3.9,2.4
5,2005,7.8,4.5,3.9,2.4
6,2005,6.9,4.8,3.9,2.3
7,2005,7.5,4.8,3.7,2.3
8,2005,7.5,4.7,3.5,2.1
9,2005,8.2,4.9,3.7,2.3
10,2005,7.3,4.8,3.8,2.3
11,2005,7.4,4.8,3.9,2.3
12,2005,7.4,4.5,3.9,2.1
1,2006,7,4.4,3.6,2.1
2,2006,7.1,4.4,3.6,2.2
3,2006,6.9,4.1,3.7,2.2
4,2006,6.9,4.4,3.8,2.2
5,2006,7,4.3,3.8,2.1
6,2006,7.1,4.1,3.5,2.1
7,2006,7.1,4.5,3.6,2
8,2006,6.8,4.6,3.5,1.8
9,2006,6.4,4.1,3.6,2.1
10,2006,5.8,4.1,3.4,1.9
11,2006,6.6,4.3,3.4,1.8
12,2006,6.7,4.3,3.4,1.8
1,2007,6.9,4.3,3.8,2.1
2,2007,7.3,4.3,3.6,1.9
3,2007,6.9,4,3.6,1.8
4,2007,7.1,4.1,3.6,1.9
5,2007,6.6,4.4,3.4,2
6,2007,6.7,4.1,3.5,2
7,2007,7.3,4.6,3.6,2.1
8,2007,6.5,4.4,3.6,2.1
9,2007,7.6,4.5,3.4,2
10,2007,7.3,4.6,3.5,2.1
11,2007,7.7,4.5,3.3,2.2
12,2007,7.7,4.7,3.8,2.1
1,2008,7.7,4.7,3.7,2.1
2,2008,7.4,4.7,3.8,2
3,2008,8.4,5.1,3.9,2.1
4,2008,7.7,5,4,2.1
5,2008,8.1,5,4.3,2.2
6,2008,8.7,5.1,4.3,2.4
7,2008,8.6,5.4,4.6,2.5
8,2008,9.7,5.8,4.9,2.8
9,2008,9.8,6.2,5,2.6
10,2008,10.3,6.4,5.2,3.1
11,2008,10.8,7,5.5,3.2
12,2008,11.1,7.8,5.7,3.6
1,2009,12.4,8.2,6.5,3.9
2,2009,13.2,8.5,7.3,4.1
3,2009,14,9.2,7.5,4.3
4,2009,14.9,9.5,7.7,4.4
5,2009,15.2,10,7.8,4.8
6,2009,15.6,9.7,8.1,4.8
7,2009,15.3,9.5,8,4.8
8,2009,15.6,9.7,8.1,4.8
9,2009,14.9,10.6,8.3,5
10,2009,15.2,11,8.7,4.7
11,2009,14.7,10.3,8.8,4.8
12,2009,15,10.6,8.7,4.9
1,2010,15.3,10.2,8.6,4.9
2,2010,15.8,10.7,8.1,4.9
3,2010,14.9,11,8.4,4.9
4,2010,14.7,10.8,8.4,4.8
5,2010,14.6,10.9,8.2,4.6
6,2010,14.2,10.6,8.1,4.4
7,2010,13.5,10,8.3,4.5
8,2010,14.1,10,8.7,4.6
9,2010,15.6,9.7,8.9,4.5
10,2010,15,9.8,8.2,4.6
11,2010,15.4,10,8.6,5
12,2010,15,9.8,8.1,4.8
1,2011,14.3,9.5,8.1,4.3
2,2011,14,9.7,7.9,4.3
3,2011,14.1,9.7,7.5,4.4
4,2011,14.7,9.9,7.5,4.5
5,2011,14.5,9.6,7.8,4.5
6,2011,14.4,10,8.3,4.3
7,2011,14.5,9.1,8.3,4.2
8,2011,14.1,9.3,8.3,4.2
9,2011,14.3,9.4,8.5,4.2
10,2011,13.5,9.4,8.1,4.3
11,2011,12.8,8.8,7.7,4.4
12,2011,13.7,8.7,7.6,4.1
1,2012,13,8.5,7.1,4.3
2,2012,13.1,8.3,7.2,4.2
