index,zip code,annual income,number of people in household
0,84445,269208.3429173588,3
1,11200,218134.03463375717,3
2,54036,93170.85999284853,1
3,00875,76654.75105435651,3
4,99260,76669.31015976911,2
5,14569,287765.95049078454,4
6,98364,265100.1106639193,1
7,54990,69125.55315914411,4
8,01882,213168.00297113173,3
9,37201,82418.41171467074,2
10,29382,133227.4820649243,5
11,78837,114840.30471615767,3
12,71558,193800.80771005602,2
13,00896,124534.91288063016,1
14,70388,130932.90358149841,4
15,00516,301092.9353190898,8
16,68012,81571.22366870017,3
17,36633,143483.92424018058,5
18,66979,140785.98217894105,2
19,98937,104603.58921592293,3
20,56792,117106.77256154311,1
21,71038,235547.29425918864,5
22,79061,111846.97616836824,3
23,10586,205661.01183221093,6
24,22045,164811.36824992765,1
25,53143,157624.3634797148,1
26,11640,171483.38823386186,1
27,10390,136487.40718081608,4
28,29118,31083.83757742297,1
29,94168,187769.01033732516,4
30,97665,63151.479075825955,5
31,69186,269092.0180065371,2
32,82562,51656.7452156941,3
33,40970,163734.60115638925,4
34,55479,86129.18140369744,2
35,01610,204334.6062048481,6
36,64727,68876.27713792845,3
37,67922,99829.83347973006,4
38,30930,173105.59573050798,2
39,07999,181253.11466454336,3
40,49464,72342.93542188934,2
41,66552,260769.53268798933,2
42,24868,100574.48210891211,2
43,60189,170460.10372814478,3
44,37525,44952.7748965483,4
45,75498,73790.78864872902,3
46,10672,208086.21423091218,3
47,43828,97437.27117781936,8
48,57817,199756.07635063346,4
49,88418,125046.37626974724,1
50,50655,116637.45209117222,7
51,39309,185020.5557996675,3
52,42942,251890.19951488366,4
53,09938,164355.3394751215,1
54,40947,96359.2083282299,4
55,72989,275840.26117160695,4
56,23671,131815.35279239863,2
57,20420,91423.10006874676,4
58,65536,118793.32731123873,4
59,71786,76935.18425836836,2
60,80648,161327.6755654458,5
61,07938,56103.932826125936,2
62,33379,101688.17632672189,5
63,67551,206179.0185666324,2
64,99661,188379.7770002771,5
65,20369,230475.80333657673,1
66,06771,171567.49751337635,1
67,52095,128385.67740080442,3
68,01703,134582.81097447962,5
69,16394,182409.96142195645,4
70,19584,148747.71146180868,2
71,25426,192233.27014453776,5
