,Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
0,2019,01/13/2019,RACING INCIDENT,Aqueduct Racetrack (NYRA),Aqueduct Racetrack,Racing,Thoroughbred,Cold and clear,Shortlist,JEREMIAH C. ENGLEHART,REYLUIS A. GUTIERREZ,SHORTLIST  3rd Race 1/13/19  was observed bleeding from the mouth and nostril areas after finishing the race and was vanned off the racetrack., 
1,2019,01/12/2019,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8,Racing,Thoroughbred, ,Westerdale,THOMAS MORLEY,DYLAN DAVIS,WESTERDALE (Tr: T. Morley) suffered a fatal musculoskeletal injury in the vicinity of the 3/8 pole and was humanely euthanized on the racetrack.  Investigation to continue.,Euthanasia
2,2019,01/11/2019,FALL OF RIDER,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred,30* Clear,LIA SHIVANI,OSCAR S. BARRERA III,CHRISTINA BONILLA,Horse Lia Shivani/Tr-O. Barrera III bolts to outside at 5/8 pole unseating her rider, 
3,2019,01/08/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont-Ruffian,Non-Racing,Thoroughbred, ,Doyouknowsomething,MERTKAN KANTARMACI, ,Doyouknowsomething sustained left elbow injury in stall  ambulanced to Ruffian clininc  where radiographs revealed fracture necessitating euthanasia.,Euthanasia
4,2019,01/06/2019,RACING INJURY,Aqueduct Racetrack (NYRA),after being unsaddled,Racing,Thoroughbred, ,My Best Friend,HAROLD S. WYNER,REYLUIS A. GUTIERREZ,MY BEST FRIEND (Tr: H. Wyner; J: Reylu Gutierrez) was vanned off the track after returning to unsaddle after the race.  Investigation to continue., 
5,2019,01/06/2019,RACING INCIDENT,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred, ,Letzgometz,JEREMIAH C. ENGLEHART,DYLAN DAVIS,Letzgometz (Tr:  Jeremiah Englehart;  J:  Dylan Davis) was pulled up at the head of the lane  and was transported off the track via horse ambulance.  Investigation to continue., 
6,2019,01/04/2019,RACING INJURY,Aqueduct Racetrack (NYRA),Before wire,Racing,Thoroughbred, ,Fifty,DAVID A. CANNIZZO,JOSE LEZCANO,Fifty (T:  David Cannizzo J:  Jose Lezcano) was pulled before the wire  and returned to his barn via horse ambulance.  Investigation to continue., 
7,2019,01/02/2019,EQUINE DEATH,Monticello Raceway & Mighty M Gaming,Barn D-Monticello Raceway,Non-Racing,Harness,37/clear,Whata Hustler,WILLIAM R. MINTZ, ,Whata Hustler-Euthanasia by track vet / Suspected spider bite/Infected leg.,Euthanasia
8,2018,12/25/2018,EQUINE DEATH,Belmont Park (NYRA),Stall,Non-Racing,Thoroughbred, ,Three Eighty Eight,GARY P. GULLO, ,Horse Three Eighty Eight/Tr-G. Gullo was euthanized due to pneumonia of approximately two weeks duration.,Euthanasia
9,2018,12/23/2018,RACING INJURY,Aqueduct Racetrack (NYRA),After unsaddling,Racing,Thoroughbred, ,Confederation,JOHN T. TOSCANO JR,BENJAMIN HERNANDEZ SOTO,CONFEDERATION (T:  John Toscano; J:  Ben Hernandez) was vanned off after returning to be unsaddled after the race.   Investigation to continue.,Injury
10,2018,12/23/2018,EQUINE DEATH,Aqueduct Racetrack (NYRA),AQUEDUCT Racetrack,Racing,Thoroughbred,Clear  Cold,Big Mischief,BRAD H. COX,JOEL ROSARIO,BIG MISCHIEF / Tr. Brad Cox -  sustained injury on the track in 4th Race necessitating euthanized on track.,Euthanasia
11,2018,12/20/2018,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,3/4 pole,Racing,Harness,Rain/38 degrees,Sonny the Shark, ,AUSTIN T. SIEGELMAN,Sonny the Shark-DNF-driver pulled horse up- A-Fib, 
12,2018,12/20/2018,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,3/4 pole,Racing,Harness,Rain/38 degrees,Sonny the Shark,STEVEN P. BRABROOK,AUSTIN T. SIEGELMAN,Sonny the Shark-DNF-driver pulled horse up- A-Fib, 
13,2018,12/20/2018,EQUINE DEATH,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred, ,Consensus Thinking,RODOLFO (RUDY) RODRIGUEZ,JOSE LEZCANO,H-CONSENSUS THINKING (Tr. Rudy Rodriguez) sustained injury necessitating euthanasia on track.  Jockey Jose Lezcano unseated and injured. H-GNARLY (Tr. G. Capuano) then unseated jockey Weston Hamilton  no injuries. Inv. Continues.,Euthanasia
14,2018,12/15/2018,RACING INCIDENT,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,ROCKFORD,BRUCE N. LEVINE,JUNIOR R. ALVARADO,Rockford/Trainer Bruce Levine.Eased in the stretch.Walked off of the track under his own power.Investigation to follow., 
15,2018,12/13/2018,RACING INCIDENT,Saratoga Gaming & Raceway,before the half,Racing,Harness,clear,Uncle Leo,GARY L. LEVINE,JAY L. RANDALL,Uncle Leo - Tr. Gary Levine - Dr. Jay Randall - Hose was pulled up early in the race  DNF., 
16,2018,12/09/2018,EQUINE DEATH,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred, ,Bluegrass Flash,BETH M. SAUL, ,H-Bluegrass Flash (Tr. Beth Miller-Saul) sustained injury 12/8/18  subsequently taken to Ruffian clinic and LFT sheath laceration confirmed. Owners opted for euthanasia(12/9/18) due to prognosis. Xref case 580.18,Euthanasia
